Name                     	Level	Lines count	Functions count
.                        	1	1750	51
bin                      	2	0	0
settings                 	3	0	0
cmd                      	2	0	0
test_copy                	3	0	0
docs                     	2	0	0
examples                 	2	0	0
admin_service            	3	0	0
casebook_service         	3	0	0
debezium_adapter_postgres	3	0	0
debtors_list             	3	0	0
post_office_service      	3	0	0
stack_exchange_postgres  	3	0	0
sync_service             	3	0	0
whatsapp_chatgpt         	3	0	0
internal                 	2	1008	36
config                   	3	70	3
constants                	3	6	0
load_json                	3	110	4
logic                    	3	460	13
packages_folder          	3	99	3
parse_go                 	3	217	10
pkg                      	2	742	15
graphml                  	3	742	15
settings                 	2	0	0
test                     	2	0	0
